"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
989103,"Sains Aktuaria","L","Smartphone","Diskusi","Puas","Rendah",5.7,"ADK1-0701822E"
249233,"Sains Aktuaria","L","Tablet","Video","Cukup","Rendah",1.9,"ADK1-0701822E"
228835,"Sains Aktuaria","P","Tablet","Diskusi","Puas","Rendah",5.3,"ADK1-0701822E"
186705,"Sains Data","P","Laptop","Praktik","Puas","Tinggi",12.9,"ADK1-0701822E"
100344,"Sains Data","P","Tablet","Buku","Cukup","Sedang",7,"ADK1-0701822E"
716382,"Sains Data","P","Laptop","Diskusi","Puas","Sedang",8.5,"ADK1-0701822E"
978039,"Matematika","P","Tablet","Praktik","Cukup","Tinggi",10,"ADK1-0701822E"
971297,"Sistem Informasi","P","Tablet","Diskusi","Puas","Tinggi",9.6,"ADK1-0701822E"
562174,"Sains Data","L","Tablet","Video","Puas","Sedang",6.4,"ADK1-0701822E"
448781,"Sistem Informasi","P","Tablet","Video","Sangat Puas","Sedang",3.2,"ADK1-0701822E"
689886,"Sistem Informasi","L","Smartphone","Diskusi","Cukup","Tinggi",10.3,"ADK1-0701822E"
843607,"Matematika","L","Tablet","Diskusi","Puas","Sedang",6.1,"ADK1-0701822E"
815489,"Sains Data","L","Smartphone","Video","Tidak Puas","Rendah",3.1,"ADK1-0701822E"
269911,"Matematika","L","Laptop","Video","Cukup","Tinggi",10.7,"ADK1-0701822E"
387917,"Sains Aktuaria","P","Laptop","Praktik","Sangat Puas","Sedang",7.3,"ADK1-0701822E"
955035,"Sains Aktuaria","P","Smartphone","Diskusi","Cukup","Rendah",3.1,"ADK1-0701822E"
947287,"Sains Aktuaria","P","Tablet","Buku","Cukup",,8.6,"ADK1-0701822E"
964059,"Sains Aktuaria","P","Laptop","Diskusi","Sangat Puas","Tinggi",8.7,"ADK1-0701822E"
112186,"Sistem Informasi","P","Tablet","Diskusi","Cukup","Tinggi",9,"ADK1-0701822E"
640694,"Sistem Informasi","P","Tablet","Buku","Cukup","Rendah",3.6,"ADK1-0701822E"
979130,"Sains Aktuaria","L","Smartphone","Buku","Cukup","Tinggi",11.3,"ADK1-0701822E"
394735,"Sistem Informasi","L","Smartphone","Praktik","Puas","Tinggi",10.7,"ADK1-0701822E"
585535,"Sistem Informasi","P","Smartphone","Praktik","Cukup","Rendah",2.8,"ADK1-0701822E"
462106,"Sistem Informasi","L","Tablet","Video","Cukup","Tinggi",10.5,"ADK1-0701822E"
115131,"Matematika","L","Laptop","Video","Puas","Rendah",3.6,"ADK1-0701822E"
348092,"Sistem Informasi","P","Tablet","Buku","Sangat Puas","Sedang",5.9,"ADK1-0701822E"
809476,"Sains Aktuaria","P","Tablet","Video","Cukup","Sedang",9.4,"ADK1-0701822E"
834708,"Matematika","P","Smartphone","Video","Sangat Puas","Tinggi",9.7,"ADK1-0701822E"
650523,"Sistem Informasi","P","Smartphone","Diskusi","Sangat Puas","Tinggi",9.7,"ADK1-0701822E"
627996,"Matematika","L","Smartphone","Video","Cukup","Rendah",,"ADK1-0701822E"
797911,"Sains Aktuaria","L","Tablet","Diskusi","Sangat Puas","Tinggi",11.3,"ADK1-0701822E"
623681,"Sistem Informasi","L","Smartphone","Diskusi","Puas","Tinggi",13,"ADK1-0701822E"
677611,"Sistem Informasi","L","Laptop","Diskusi","Puas","Sedang",5.5,"ADK1-0701822E"
679899,"Sistem Informasi","L","Tablet","Diskusi","Cukup","Tinggi",10.2,"ADK1-0701822E"
499656,"Matematika","L","Tablet","Praktik","Sangat Puas","Sedang",6.5,"ADK1-0701822E"
317104,"Sains Data","P","Laptop","Praktik","Sangat Puas","Tinggi",9.3,"ADK1-0701822E"
363730,"Matematika","L","Tablet","Praktik","Tidak Puas","Tinggi",11.2,"ADK1-0701822E"
751317,"Matematika","P","Tablet","Buku","Puas","Rendah",1.5,"ADK1-0701822E"
844871,"Sistem Informasi","P","Tablet","Buku","Puas","Rendah",6.3,"ADK1-0701822E"
441421,"Sains Aktuaria","L","Laptop","Diskusi","Tidak Puas","Rendah",3.7,"ADK1-0701822E"
401999,"Sains Data","L","Laptop","Video","Cukup","Rendah",4.8,"ADK1-0701822E"
